"2015-02-11 10:36:02","100025","г.Полтава,ул.Шевченко,62","Полтава(Полтавское РУ)","Снятие","0","Снятие с охраны","653644","Отмена тревоги"
"2015-02-23 8:19:04","260130","Ивано-Франковская обл. м.Косив,ул.Независимости,42","Ивано-Франковск(Ивано-Франковск филиал)","Тревога","0","Входные двери","196578","Прием на обработку"
"2015-02-23 8:19:11","260130","Ивано-Франковская обл. м.Косив,ул.Независимости,42","Ивано-Франковск(Ивано-Франковск филиал)","Тревога","0","Входные двери","196579","Выслана группа реагирования"
"2015-02-23 8:25:57","260130","Ивано-Франковская обл. м.Косив,ул.Независимости,42","Ивано-Франковск(Ивано-Франковск филиал)","Тревога","0","Входные двери","196710","Прибытие группы реагированния"
"2015-02-23 8:25:59","260130","Ивано-Франковская обл. м.Косив,ул.Независимости,42","Ивано-Франковск(Ивано-Франковск филиал)","Тревога","0","Входные двери","196712","Окончание обработки: Нарушений нет"
